WARNING: 4 open meshes merged
     Merged: MainWing_Transonic
     Merged: HorizontalTail
     Merged: MeshGeom
     Merged: MeshGeom
...Mass Properties...
24 Num Comps
24 Total Num Meshes
18016 Total Num Tris

1.826212442709417e+03             Total Mass
3.508942064923051e+01 -1.967813327748310e-07 4.741186546564674e-01       Center of Gravity
4.738801996529741e+04 4.807777210068376e+05 5.172218491529029e+05       Ixx, Iyy, Izz
-1.066591635752669e+01 8.119088402591904e+03 1.039780127771348e+01       Ixy, Ixz, Iyz
1.826212442709417e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Fuselage_MainDeck	1.319757001957472e+03	3.356826535537940e+01	-3.157322340192237e-07	-2.831296391566840e-08	4.631810558492596e+03	3.592262138040434e+05	3.595595841384049e+05	-8.276768527196921e+00	-1.148522690690094e+00	7.626871405589990e+00	1.319757001957472e+03
LH2_Tank_1_Fwd	6.360880117902530e+01	1.576067944613414e+01	7.513539528993740e-07	3.117559640833385e+00	7.753857940865717e+01	7.034702356242084e+02	7.457738589902590e+02	-3.521204473885717e-01	9.025164808985831e+00	3.767161130188847e-01	6.360880117902530e+01
LH2_Tank_2_MidFwd	5.217810346033325e+01	3.078951894823347e+01	-8.691000599632924e-07	3.266428007019545e+00	5.826807689244410e+01	5.606401626881594e+02	5.971803742113176e+02	-2.653652944858686e-01	2.925332758495117e+00	3.138537017044416e-01	5.217810346033325e+01
LH2_Tank_3_MidAft	6.020440251796447e+01	4.606634550714399e+01	2.061609576972051e-07	3.160511983068130e+00	7.163069078634308e+01	6.593939662094419e+02	7.000102779290994e+02	-3.240604366053081e-01	-1.117423956692095e+01	3.558083137165292e-01	6.020440251796447e+01
LH2_Tank_4_Aft	8.377671776380343e+01	6.116687389222972e+01	-4.136494501120424e-09	2.859617597582117e+00	1.143917246213255e+02	1.004874260261542e+03	1.045093501056916e+03	-3.766634128868700e-01	-3.784963312450230e+01	4.708125378199349e-01	8.377671776380343e+01
MainWing_Transonic	1.522655433581920e+02	3.623157076632469e+01	2.727691490197293e-07	-1.375056016477727e-03	2.595469712106111e+04	2.109476089739252e+03	2.794208771128402e+04	-7.475765397631561e-01	2.942005995366874e+02	8.063411641110566e-01	1.522655433581920e+02
HorizontalTail	1.387932701812083e+01	6.323212266642278e+01	-9.284165589062903e-16	2.700752276348626e+00	3.770621084735303e+02	2.907998197240707e+01	4.044600614072287e+02	-2.652163782829768e-02	3.182727647032241e+00	6.430773622277484e-02	1.387932701812083e+01
VerticalTail	1.716205526409730e+01	5.632406051235382e+01	7.469725494498003e-08	6.733027833089086e+00	1.003829179152098e+02	1.730496336953660e+02	7.382293089765146e+01	1.066746072464432e-02	6.567884616163391e+01	-8.636448051974845e-04	1.716205526409730e+01
Engine_Inboard_Port	1.585019055056252e+01	2.689001811731020e+01	-9.499999999999760e+00	-1.799999999999975e+00	1.132715767867331e+01	2.372739731206104e+01	2.431368273434919e+01	-7.989825732222260e-02	-1.077505912289027e-02	9.794227305587766e-02	1.585019055056252e+01
Engine_Inboard_Stbd	1.585019055056252e+01	2.689001811731006e+01	9.499999999999845e+00	-1.799999999999971e+00	1.134926437534306e+01	2.372723941312219e+01	2.433594732995779e+01	-7.334710200269794e-02	-1.147759019223536e-02	1.016023890382772e-01	1.585019055056252e+01
Engine_Outboard_Port	1.584005454475588e+01	3.341119817203475e+01	-1.780000000000001e+01	-8.999999999999840e-01	1.127569399318657e+01	2.368731568198918e+01	2.424773021840000e+01	-8.103295145306767e-02	-1.178428328541672e-02	8.792662990839380e-02	1.584005454475588e+01
Engine_Outboard_Stbd	1.584005454475582e+01	3.341119817203491e+01	1.780000000000009e+01	-8.999999999999907e-01	1.129556838809425e+01	2.368835772093126e+01	2.426656257436567e+01	-7.333614561349168e-02	-1.164144041960440e-02	9.626459517619509e-02	1.584005454475582e+01
MeshGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
MeshGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
MeshGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
