WARNING: 4 open meshes merged
     Merged: MainWing_Transonic
     Merged: HorizontalTail
     Merged: MeshGeom
     Merged: MeshGeom
...Mass Properties...
26 Num Comps
26 Total Num Meshes
20448 Total Num Tris

1.882153994575634e+03             Total Mass
3.344868678020951e+01 9.660129886435809e-06 8.249736610624350e-02       Center of Gravity
4.743477320305624e+04 4.895591143191622e+05 5.268390282421969e+05       Ixx, Iyy, Izz
-1.136678948626226e+01 6.815165894340639e+03 1.067553567633031e+01       Ixy, Ixz, Iyz
1.882153994575634e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Unified_Aerodynamic_Fuselage	1.594125075782085e+03	3.207219502652111e+01	7.467945507099706e-08	-7.773780049914146e-08	6.869982585760177e+03	4.240701943216185e+05	4.234579618624857e+05	-9.602912178476418e+00	-1.354962043236659e+00	9.188739762199491e+00	1.594125075782085e+03
LH2_Tank_1_Internal	6.051727885841158e-01	1.197302728092084e+01	8.910085167279973e-06	3.021755478969797e+00	1.070908183446915e-01	1.235980089516259e+00	1.337391531219337e+00	5.347903488951944e-04	2.625002357469065e-02	3.405077437678902e-04	6.051727885841158e-01
LH2_Tank_2_Internal	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
LH2_Tank_3_Internal	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
LH2_Tank_4_Internal	6.373221878292695e+00	5.185267181132053e+01	-1.187783216531504e-05	2.749878427726133e+00	3.176836529873110e+00	2.688472299835255e+01	2.948987567773472e+01	-7.265275028438546e-03	-1.259887945945905e+00	1.955145564709245e-02	6.373221878292695e+00
LH2_Tank_5_Internal	3.241827755531840e+01	6.409288892775506e+01	5.671413995514092e-04	2.120273481358987e+00	3.055320562391624e+01	2.746123080701636e+02	2.861028169789441e+02	-1.227457448944839e+00	-2.243736231280297e+01	1.633087487406451e-01	3.241827755531840e+01
MainWing_Transonic	1.514640599122632e+02	3.625646710543103e+01	8.430756193308076e-08	3.843682264824853e-03	2.596212274134425e+04	2.090610478979989e+03	2.793205515880090e+04	-7.570034669403233e-01	2.910054915120288e+02	8.227937072521762e-01	1.514640599122632e+02
HorizontalTail	1.513999180168239e+01	6.310165063365096e+01	-1.753008165919197e-05	2.274288064683921e+00	3.804081826597141e+02	3.400256827701823e+01	4.124527279664468e+02	-3.091996870068206e-02	3.753591873663215e+00	6.343206463553455e-02	1.513999180168239e+01
VerticalTail	1.874386899792874e+01	5.642101735446944e+01	1.162968098415738e-16	6.270389063676791e+00	1.145790230440051e+02	1.846264221786105e+02	7.126116129625350e+01	1.652021726878780e-02	5.984349574000517e+01	-5.802547701685384e-03	1.874386899792874e+01
Engine_Inboard_Port	1.578186275299669e+01	2.690227407961881e+01	-9.499999999999783e+00	-1.799999999999966e+00	1.111891657286801e+01	2.360312505783728e+01	2.417936970523349e+01	-7.979683304950305e-02	-1.112106249713768e-02	9.356290135678474e-02	1.578186275299669e+01
