WARNING: 2 open meshes merged
     Merged: MainWing
     Merged: HorizontalStabilizer
...Mass Properties...
19 Num Comps
19 Total Num Meshes
9952 Total Num Tris

3.319079738533654e+03             Total Mass
3.722236993986456e+01 1.844160831805533e-08 1.331320418037271e-01       Center of Gravity
3.129157374429543e+05 8.718701604172810e+05 1.145738773059192e+06       Ixx, Iyy, Izz
7.190416537785785e+00 3.386439968128187e+04 4.897457279408104e+02       Ixy, Ixz, Iyz
3.319079738533654e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Fuselage_DoubleDeck	2.287821210705309e+03	3.470982305064550e+01	2.675434959915459e-08	2.370895899110737e-08	1.630422624438907e+04	6.779215415295133e+05	6.780011487395266e+05	1.430985400043867e+00	-6.419437573730957e+00	3.996527049478270e+02	2.287821210705309e+03
MainWing	6.837700669729898e+02	3.933872781170062e+01	1.571721167313988e-16	-1.858814976315554e-01	1.956768443836921e+05	2.274991605509754e+04	2.172411078017690e+05	1.169192447330614e+01	2.331502924482347e+03	7.975455796124885e+01	6.837700669729898e+02
HorizontalStabilizer	9.668054879650458e+01	6.950009982060728e+01	3.011813104169000e-15	4.779300001416520e+00	4.524238525617642e+03	1.077183983526910e+03	5.552889747642033e+03	-2.218415874412731e+00	8.272337328724657e+01	5.454848431143553e+00	9.668054879650458e+01
VerticalStabilizer	7.026649155210228e+01	5.980644560274417e+01	3.907511913615931e-16	9.041202261081935e+00	9.860417222712683e+02	1.873269602014722e+03	8.979400704799395e+02	1.173852495681970e+00	5.773624080412371e+02	4.499272909916731e-01	7.026649155210228e+01
Inboard_Engines	4.180016070137159e+01	3.181952833303497e+01	1.550000000000000e+01	-3.600000000000002e+00	6.262747905463672e+01	2.604806428023173e+02	2.701713602188524e+02	2.029945310629918e-01	-7.441352543912669e-01	1.972779761457586e-01	4.180016070137159e+01
Inboard_Engines	4.180016070137163e+01	3.181952833303493e+01	-1.549999999999997e+01	-3.599999999999996e+00	6.390240002587058e+01	2.613786831368789e+02	2.705482408555254e+02	8.033792665950630e-01	-5.324352342938733e-01	1.235992466625170e+00	4.180016070137163e+01
Inboard_Pylons	9.817106611985892e-01	3.265983499256642e+01	1.550000000000000e+01	-1.660348933009183e+00	8.517834043022059e-02	3.047201023383592e+00	3.076940566350470e+00	-1.206631963934778e-02	-1.457265537675010e-02	3.899603661510324e-03	9.817106611985892e-01
Inboard_Pylons	9.817106611985895e-01	3.265983499256641e+01	-1.549999999999999e+01	-1.660348933009182e+00	8.494614548989021e-02	3.047212949097712e+00	3.076696445696016e+00	7.286186022404665e-03	-1.316703643094237e-02	-5.158965825528086e-03	9.817106611985895e-01
Outboard_Engines	4.547255839450706e+01	3.723859172771259e+01	2.650000000000004e+01	-2.600000000000010e+00	8.356541531873872e+01	2.750955901370320e+02	2.962084154769333e+02	-2.773271844693542e+00	-7.645514344997806e-01	5.406373156405221e-01	4.547255839450706e+01
Outboard_Engines	4.547255839450708e+01	3.723859172771257e+01	-2.650000000000003e+01	-2.600000000000009e+00	9.658872256365856e+01	2.749664995060135e+02	3.093608133528715e+02	-3.136762047907308e+00	-1.204982405918897e+00	2.445545966019722e+00	4.547255839450708e+01
Outboard_Pylons	7.091827003080490e-01	4.034450204964092e+01	2.650000000000004e+01	-1.151764008891558e+00	8.328499354071296e-02	2.260006539062974e+00	2.185794248055362e+00	8.347417909434348e-04	-8.836441370113008e-03	-1.944144782847780e-04	7.091827003080490e-01
Outboard_Pylons	7.091827003080500e-01	4.034450204964092e+01	-2.650000000000004e+01	-1.151764008891558e+00	8.257975725600494e-02	2.259231558809529e+00	2.185863992024104e+00	2.115960295371712e-03	-8.211396795000799e-03	-2.505054283693557e-04	7.091827003080500e-01
LH2_CryoTanks_Upper	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
LH2_CryoTanks_Upper	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
LH2_CryoTanks_Lower	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
LH2_CryoTanks_Lower	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
ZEROe_Hydrogen_Engine_Pod	2.614195591990199e+00	5.572035782762261e+01	3.911431204808140e-16	5.328274022569659e+00	1.696046141624606e+00	8.484094256316610e+00	9.423889276853430e+00	1.771336054342977e-02	-7.165344903948677e-02	1.594801613442244e-02	2.614195591990199e+00
ZEROe_Dorsal_Pylon	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
ZEROe_Dorsal_Pylon	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	3.319079738533654e+03	3.722236993986456e+01	1.844160831805533e-08	1.331320418037271e-01	3.129157374429543e+05	8.718701604172810e+05	1.145738773059192e+06	7.190416537785785e+00	3.386439968128187e+04	4.897457279408104e+02	3.319079738533654e+03

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
20 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
1.921166764268613e+00	2.056249081804840e+01	1.921166764268611e+00	-1.840811338507212e-16	1.188681565516344e-16	2.368517188945467e+01	7.489818908576378e+01	7.527651915316149e+01	8.618013862370505e-01	-2.395880044052890e-01	2.482469258268453e-01	2.056249081804840e+01
5.763500292805839e+00	1.105342851591291e+02	5.048718017001694e+00	-9.135468998712759e-17	3.259640802323724e-17	4.464483414561301e+02	8.046606912046552e+02	8.159387536319229e+02	1.727038974243467e+00	-3.421425039178153e-01	7.351171379093995e+00	1.105342851591291e+02
9.605833821343065e+00	2.307496023487797e+02	7.422872149067369e+00	-1.019184688702972e-16	2.138806844700123e-17	1.205959562318777e+03	2.741078773357919e+03	2.770338904325062e+03	4.670706474953423e-01	-6.139993357691297e-01	3.125486744212001e+01	2.307496023487797e+02
1.344816734988029e+01	3.588465268985930e+02	9.573713043082751e+00	7.368718369061120e-17	-1.948168669377177e-18	2.067115333995678e+03	6.544829529920416e+03	6.596504727411052e+03	-3.169666196940289e-01	-1.845787434664393e-01	5.857057261992283e+01	3.588465268985930e+02
1.729050087841752e+01	4.970774293865976e+02	1.171965346146607e+01	2.753034492397979e-16	-2.064243667845658e-17	3.070506769263201e+03	1.339803533368195e+04	1.348184323591936e+04	-3.287114817054825e+00	7.210355521718180e-01	8.484427685306672e+01	4.970774293865976e+02
